"","Station","BCI","DateTimeOriginal","Date","Time","Species","Month","TimeStamp"
"892","E05",1,"2018-07-28 14:49:41","7/28/2018","14:49:41","Deer - Doe",7,2018-07-28 14:49:41
"893","E05",2,"2018-07-28 12:36:46","7/28/2018","12:36:46","Deer - Doe",7,2018-07-28 12:36:46
"894","E05",2,"2018-07-28 14:49:48","7/28/2018","14:49:48","Deer - Doe",7,2018-07-28 14:49:48
"895","E05",3,"2018-07-28 12:36:44","7/28/2018","12:36:44","Deer - Doe",7,2018-07-28 12:36:44
"896","F08",2,"2018-07-28 14:22:50","7/28/2018","14:22:50","Deer - Doe",7,2018-07-28 14:22:50
"897","F08",3,"2018-07-28 10:50:39","7/28/2018","10:50:39","Deer - Doe",7,2018-07-28 10:50:39
"898","F08",3,"2018-07-28 23:54:03","7/28/2018","23:54:03","Deer - Doe",7,2018-07-28 23:54:03
"899","G11",2,"2018-07-28 8:49:59","7/28/2018","8:49:59","Deer - Doe",7,2018-07-28 08:49:59
"900","E05",3,"2018-07-30 20:15:08","7/30/2018","20:15:08","Deer - Doe",7,2018-07-30 20:15:08
"901","D08",1,"2018-07-31 7:07:36","7/31/2018","7:07:36","Deer - Buck",7,2018-07-31 07:07:36
"902","E05",2,"2018-07-31 0:51:54","7/31/2018","0:51:54","Deer - Doe",7,2018-07-31 00:51:54
"903","E11",2,"2018-07-31 6:08:16","7/31/2018","6:08:16","Deer - Buck",7,2018-07-31 06:08:16
"904","C03",3,"2018-08-01 10:27:54","8/1/2018","10:27:54","Deer - Doe",8,2018-08-01 10:27:54
"905","F08",2,"2018-08-01 9:51:30","8/1/2018","9:51:30","Deer - Doe",8,2018-08-01 09:51:30
"906","F08",4,"2018-08-01 19:11:52","8/1/2018","19:11:52","Deer - Doe",8,2018-08-01 19:11:52
"907","C03",2,"2018-08-02 12:37:56","8/2/2018","12:37:56","Deer - Doe",8,2018-08-02 12:37:56
"908","C03",3,"2018-08-02 12:37:42","8/2/2018","12:37:42","Deer - Doe",8,2018-08-02 12:37:42
"909","C03",4,"2018-08-03 12:45:38","8/3/2018","12:45:38","Deer - Doe",8,2018-08-03 12:45:38
"910","D08",3,"2018-08-03 12:36:36","8/3/2018","12:36:36","Deer - Buck",8,2018-08-03 12:36:36
"911","F08",2,"2018-08-03 8:47:53","8/3/2018","8:47:53","Deer - Doe",8,2018-08-03 08:47:53
"912","F08",3,"2018-08-03 13:43:54","8/3/2018","13:43:54","Deer - Doe",8,2018-08-03 13:43:54
"913","B02",2,"2018-08-04 2:45:00","8/4/2018","2:45:37","Deer - Doe",8,2018-08-04 02:45:00
"914","E09",0,"2018-08-04 14:55:46","8/4/2018","14:55:46","Deer - Doe",8,2018-08-04 14:55:46
"915","E09",1,"2018-08-04 14:55:36","8/4/2018","14:55:36","Deer - Doe",8,2018-08-04 14:55:36
"916","F08",2,"2018-08-04 0:11:11","8/4/2018","0:11:11","Deer - Doe",8,2018-08-04 00:11:11
"917","F08",2,"2018-08-04 1:45:41","8/4/2018","1:45:41","Deer - Doe",8,2018-08-04 01:45:41
"918","F08",2,"2018-08-04 6:52:37","8/4/2018","6:52:37","Deer - Doe",8,2018-08-04 06:52:37
"919","F08",3,"2018-08-04 6:52:18","8/4/2018","6:52:18","Deer - Doe",8,2018-08-04 06:52:18
"920","F08",4,"2018-08-04 4:42:35","8/4/2018","4:42:35","Deer - Doe",8,2018-08-04 04:42:35
"921","C03",4,"2018-08-05 3:54:57","8/5/2018","3:54:57","Deer - Doe",8,2018-08-05 03:54:57
"922","D08",4,"2018-08-05 9:30:51","8/5/2018","9:30:51","Deer - Buck",8,2018-08-05 09:30:51
"923","E05",3,"2018-08-05 5:01:23","8/5/2018","5:01:23","Deer - Doe",8,2018-08-05 05:01:23
"924","B02",2,"2018-08-06 1:42:00","8/6/2018","1:42:34","Deer - Doe",8,2018-08-06 01:42:00
"925","B02",2,"2018-08-06 23:56:00","8/6/2018","23:56:33","Deer - Doe",8,2018-08-06 23:56:00
"926","E09",1,"2018-08-06 14:58:58","8/6/2018","14:58:58","Deer - Doe",8,2018-08-06 14:58:58
"927","B02",4,"2018-08-07 4:07:00","8/7/2018","4:07:06","Deer - Buck",8,2018-08-07 04:07:00
"928","B02",2,"2018-08-07 4:08:00","8/7/2018","4:08:21","Deer - Doe",8,2018-08-07 04:08:00
"929","E05",2,"2018-08-07 16:30:14","8/7/2018","16:30:14","Deer - Doe",8,2018-08-07 16:30:14
"930","E05",2,"2018-08-07 19:21:35","8/7/2018","19:21:35","Deer - Doe",8,2018-08-07 19:21:35
"931","E05",3,"2018-08-07 19:32:54","8/7/2018","19:32:54","Deer - Doe",8,2018-08-07 19:32:54
"932","E05",3,"2018-08-08 14:05:14","8/8/2018","14:05:14","Deer - Doe",8,2018-08-08 14:05:14
"933","D08",2,"2018-08-09 17:42:13","8/9/2018","17:42:13","Deer - Doe",8,2018-08-09 17:42:13
"934","E05",3,"2018-08-09 7:42:24","8/9/2018","7:42:24","Deer - Doe",8,2018-08-09 07:42:24
"935","E05",4,"2018-08-09 6:03:48","8/9/2018","6:03:48","Deer - Doe",8,2018-08-09 06:03:48
"936","E05",4,"2018-08-09 7:43:41","8/9/2018","7:43:41","Deer - Doe",8,2018-08-09 07:43:41
"937","B02",3,"2018-08-10 19:19:00","8/10/2018","19:19:06","Deer - Doe",8,2018-08-10 19:19:00
"938","C09",3,"2018-08-10 22:51:05","8/10/2018","22:51:05","Deer - Buck",8,2018-08-10 22:51:05
"939","E05",3,"2018-08-10 6:39:45","8/10/2018","6:39:45","Deer - Doe",8,2018-08-10 06:39:45
"940","E09",2,"2018-08-10 5:41:00","8/10/2018","5:41:00","Deer - Doe",8,2018-08-10 05:41:00
"941","E09",2,"2018-08-10 6:18:47","8/10/2018","6:18:47","Deer - Doe",8,2018-08-10 06:18:47
"942","E09",3,"2018-08-10 6:18:51","8/10/2018","6:18:51","Deer - Doe",8,2018-08-10 06:18:51
"943","C03",3,"2018-08-11 6:04:28","8/11/2018","6:04:28","Deer - Doe",8,2018-08-11 06:04:28
"944","D04",3,"2018-08-11 8:42:39","8/11/2018","8:42:39","Deer - Doe",8,2018-08-11 08:42:39
"945","D04",4,"2018-08-11 8:42:58","8/11/2018","8:42:58","Deer - Doe",8,2018-08-11 08:42:58
"946","E05",3,"2018-08-11 6:21:35","8/11/2018","6:21:35","Deer - Doe",8,2018-08-11 06:21:35
"947","E09",0,"2018-08-11 21:15:14","8/11/2018","21:15:14","Deer - Doe",8,2018-08-11 21:15:14
"948","E09",1,"2018-08-11 21:15:07","8/11/2018","21:15:07","Deer - Doe",8,2018-08-11 21:15:07
"949","G09",3,"2018-08-11 16:10:29","8/11/2018","16:10:29","Deer - Doe",8,2018-08-11 16:10:29
"950","E05",2,"2018-08-12 7:04:15","8/12/2018","7:04:15","Deer - Doe",8,2018-08-12 07:04:15
"951","C03",3,"2018-08-13 11:55:18","8/13/2018","11:55:18","Deer - Doe",8,2018-08-13 11:55:18
"952","E09",1,"2018-08-13 21:53:29","8/13/2018","21:53:29","Deer - Doe",8,2018-08-13 21:53:29
"953","E09",2,"2018-08-13 6:20:34","8/13/2018","6:20:34","Deer - Doe",8,2018-08-13 06:20:34
"954","E09",2,"2018-08-13 21:44:37","8/13/2018","21:44:37","Deer - Doe",8,2018-08-13 21:44:37
"955","E09",3,"2018-08-13 6:21:01","8/13/2018","6:21:01","Deer - Doe",8,2018-08-13 06:21:01
"956","F08",2,"2018-08-13 20:47:58","8/13/2018","20:47:58","Deer - Doe",8,2018-08-13 20:47:58
"957","F10",3,"2018-08-13 14:11:28","8/13/2018","14:11:28","Deer - Buck",8,2018-08-13 14:11:28
"958","F10",4,"2018-08-13 14:11:28","8/13/2018","14:11:28","Deer - Buck",8,2018-08-13 14:11:28
"959","F10",3,"2018-08-13 14:11:28","8/13/2018","14:11:28","Deer - Doe",8,2018-08-13 14:11:28
"960","F10",4,"2018-08-13 14:11:28","8/13/2018","14:11:28","Deer - Doe",8,2018-08-13 14:11:28
"961","D08",2,"2018-08-14 12:47:06","8/14/2018","12:47:06","Deer - Buck",8,2018-08-14 12:47:06
"962","D08",3,"2018-08-14 22:59:08","8/14/2018","22:59:08","Deer - Doe",8,2018-08-14 22:59:08
"963","E05",3,"2018-08-14 6:02:06","8/14/2018","6:02:06","Deer - Doe",8,2018-08-14 06:02:06
"964","E05",3,"2018-08-14 6:26:36","8/14/2018","6:26:36","Deer - Doe",8,2018-08-14 06:26:36
"965","E05",4,"2018-08-14 6:26:14","8/14/2018","6:26:14","Deer - Doe",8,2018-08-14 06:26:14
"966","E09",0,"2018-08-14 10:24:40","8/14/2018","10:24:40","Deer - Doe",8,2018-08-14 10:24:40
"967","E09",2,"2018-08-14 10:24:58","8/14/2018","10:24:58","Deer - Doe",8,2018-08-14 10:24:58
"968","F08",3,"2018-08-14 8:12:09","8/14/2018","8:12:09","Deer - Doe",8,2018-08-14 08:12:09
"969","F10",3,"2018-08-14 6:44:27","8/14/2018","6:44:27","Deer - Buck",8,2018-08-14 06:44:27
"970","F10",3,"2018-08-14 6:44:27","8/14/2018","6:44:27","Deer - Doe",8,2018-08-14 06:44:27
"971","G09",4,"2018-08-14 9:03:07","8/14/2018","9:03:07","Deer - Buck",8,2018-08-14 09:03:07
"972","C03",2,"2018-08-15 12:46:47","8/15/2018","12:46:47","Deer - Doe",8,2018-08-15 12:46:47
"973","F10",3,"2018-08-15 8:32:48","8/15/2018","8:32:48","Deer - Buck",8,2018-08-15 08:32:48
"974","F10",3,"2018-08-15 8:32:48","8/15/2018","8:32:48","Deer - Doe",8,2018-08-15 08:32:48
"975","B02",4,"2018-08-16 4:25:00","8/16/2018","4:25:08","Deer - Buck",8,2018-08-16 04:25:00
"976","B02",3,"2018-08-16 7:31:00","8/16/2018","7:31:59","Deer - Doe",8,2018-08-16 07:31:00
"977","E07",5,"2018-08-16 4:42:58","8/16/2018","4:42:58","Deer - Buck",8,2018-08-16 04:42:58
"978","E11",2,"2018-08-16 8:47:57","8/16/2018","8:47:57","Deer - Doe",8,2018-08-16 08:47:57
"979","G09",3,"2018-08-16 15:26:28","8/16/2018","15:26:28","Deer - Doe",8,2018-08-16 15:26:28
"980","E05",1,"2018-08-17 6:03:00","8/17/2018","6:03:00","Deer - Doe",8,2018-08-17 06:03:00
"981","E05",3,"2018-08-17 5:52:08","8/17/2018","5:52:08","Deer - Doe",8,2018-08-17 05:52:08
"982","E09",2,"2018-08-17 5:18:46","8/17/2018","5:18:46","Deer - Doe",8,2018-08-17 05:18:46
"983","G09",4,"2018-08-17 21:37:20","8/17/2018","21:37:20","Deer - Buck",8,2018-08-17 21:37:20
"984","B02",3,"2018-08-18 5:11:00","8/18/2018","5:11:33","Deer - Buck",8,2018-08-18 05:11:00
"985","B02",4,"2018-08-18 5:11:00","8/18/2018","5:11:01","Deer - Buck",8,2018-08-18 05:11:00
"986","E05",2,"2018-08-18 22:03:25","8/18/2018","22:03:25","Deer - Doe",8,2018-08-18 22:03:25
"987","E07",3,"2018-08-18 3:33:24","8/18/2018","3:33:24","Deer - Doe",8,2018-08-18 03:33:24
"988","E09",1,"2018-08-18 10:22:17","8/18/2018","10:22:17","Deer - Doe",8,2018-08-18 10:22:17
"989","E09",1,"2018-08-18 11:50:14","8/18/2018","11:50:14","Deer - Doe",8,2018-08-18 11:50:14
"990","F08",4,"2018-08-18 17:03:57","8/18/2018","17:03:57","Deer - Doe",8,2018-08-18 17:03:57
"991","G09",3,"2018-08-18 1:18:51","8/18/2018","1:18:51","Deer - Doe",8,2018-08-18 01:18:51
"992","B02",3,"2018-08-19 11:13:00","8/19/2018","11:13:52","Deer - Buck",8,2018-08-19 11:13:00
"993","B02",1,"2018-08-19 9:48:00","8/19/2018","9:48:44","Deer - Doe",8,2018-08-19 09:48:00
"994","B02",1,"2018-08-19 18:06:00","8/19/2018","18:06:05","Deer - Doe",8,2018-08-19 18:06:00
"995","B02",2,"2018-08-19 8:28:00","8/19/2018","8:28:15","Deer - Doe",8,2018-08-19 08:28:00
"996","B02",3,"2018-08-19 8:32:00","8/19/2018","8:32:33","Deer - Doe",8,2018-08-19 08:32:00
"997","D08",1,"2018-08-19 8:36:07","8/19/2018","8:36:07","Deer - Doe",8,2018-08-19 08:36:07
"998","E09",1,"2018-08-19 5:44:34","8/19/2018","5:44:34","Deer - Doe",8,2018-08-19 05:44:34
"999","E09",1,"2018-08-19 7:36:34","8/19/2018","7:36:34","Deer - Doe",8,2018-08-19 07:36:34
"1000","D08",1,"2018-08-20 10:23:46","8/20/2018","10:23:46","Deer - Doe",8,2018-08-20 10:23:46
"1001","E09",3,"2018-08-20 10:37:37","8/20/2018","10:37:37","Deer - Doe",8,2018-08-20 10:37:37
"1002","E09",3,"2018-08-20 11:11:15","8/20/2018","11:11:15","Deer - Doe",8,2018-08-20 11:11:15
"1003","E11",0,"2018-08-20 17:19:44","8/20/2018","17:19:44","Deer - Doe",8,2018-08-20 17:19:44
"1004","F08",3,"2018-08-20 4:52:19","8/20/2018","4:52:19","Deer - Doe",8,2018-08-20 04:52:19
"1005","B02",2,"2018-08-21 11:01:00","8/21/2018","11:01:42","Deer - Doe",8,2018-08-21 11:01:00
"1006","B02",3,"2018-08-21 11:02:00","8/21/2018","11:02:24","Deer - Doe",8,2018-08-21 11:02:00
"1007","C03",1,"2018-08-21 18:30:54","8/21/2018","18:30:54","Deer - Doe",8,2018-08-21 18:30:54
"1008","C03",3,"2018-08-21 15:17:29","8/21/2018","15:17:29","Deer - Doe",8,2018-08-21 15:17:29
"1009","F08",2,"2018-08-21 9:09:52","8/21/2018","9:09:52","Deer - Doe",8,2018-08-21 09:09:52
"1010","F08",2,"2018-08-21 22:05:03","8/21/2018","22:05:03","Deer - Doe",8,2018-08-21 22:05:03
"1011","F08",3,"2018-08-21 22:08:26","8/21/2018","22:08:26","Deer - Doe",8,2018-08-21 22:08:26
"1012","B02",1,"2018-08-22 12:18:00","8/22/2018","12:18:14","Deer - Doe",8,2018-08-22 12:18:00
"1013","E05",1,"2018-08-22 9:05:49","8/22/2018","9:05:49","Deer - Doe",8,2018-08-22 09:05:49
"1014","E05",2,"2018-08-22 8:31:36","8/22/2018","8:31:36","Deer - Doe",8,2018-08-22 08:31:36
"1015","E05",2,"2018-08-22 9:27:55","8/22/2018","9:27:55","Deer - Doe",8,2018-08-22 09:27:55
"1016","E05",3,"2018-08-22 8:36:46","8/22/2018","8:36:46","Deer - Doe",8,2018-08-22 08:36:46
"1017","F10",2,"2018-08-22 15:31:26","8/22/2018","15:31:26","Deer - Buck",8,2018-08-22 15:31:26
"1018","F10",2,"2018-08-22 18:00:48","8/22/2018","18:00:48","Deer - Buck",8,2018-08-22 18:00:48
"1019","F10",2,"2018-08-22 15:31:26","8/22/2018","15:31:26","Deer - Doe",8,2018-08-22 15:31:26
"1020","F10",2,"2018-08-22 18:00:48","8/22/2018","18:00:48","Deer - Doe",8,2018-08-22 18:00:48
"1021","G09",5,"2018-08-22 11:40:23","8/22/2018","11:40:23","Deer - Buck",8,2018-08-22 11:40:23
"1022","G09",5,"2018-08-22 12:10:28","8/22/2018","12:10:28","Deer - Buck",8,2018-08-22 12:10:28
"1023","G09",4,"2018-08-22 1:47:58","8/22/2018","1:47:58","Deer - Doe",8,2018-08-22 01:47:58
"1024","E05",4,"2018-08-23 2:27:45","8/23/2018","2:27:45","Deer - Buck",8,2018-08-23 02:27:45
"1025","F06",3,"2018-08-23 5:43:17","8/23/2018","5:43:17","Deer - Doe",8,2018-08-23 05:43:17
"1026","F08",2,"2018-08-23 7:24:20","8/23/2018","7:24:20","Deer - Doe",8,2018-08-23 07:24:20
"1027","F08",2,"2018-08-23 11:25:23","8/23/2018","11:25:23","Deer - Doe",8,2018-08-23 11:25:23
"1028","F08",2,"2018-08-23 15:19:39","8/23/2018","15:19:39","Deer - Doe",8,2018-08-23 15:19:39
"1029","F08",3,"2018-08-23 11:21:51","8/23/2018","11:21:51","Deer - Doe",8,2018-08-23 11:21:51
"1030","F08",3,"2018-08-23 16:20:20","8/23/2018","16:20:20","Deer - Doe",8,2018-08-23 16:20:20
"1031","G11",1,"2018-08-23 9:59:25","8/23/2018","9:59:25","Deer - Doe",8,2018-08-23 09:59:25
"1032","B02",1,"2018-08-24 4:06:00","8/24/2018","4:06:19","Deer - Doe",8,2018-08-24 04:06:00
"1033","B02",2,"2018-08-24 4:08:00","8/24/2018","4:08:31","Deer - Doe",8,2018-08-24 04:08:00
"1034","F08",2,"2018-08-24 0:21:00","8/24/2018","0:21:00","Deer - Doe",8,2018-08-24 00:21:00
"1035","F08",3,"2018-08-24 11:26:52","8/24/2018","11:26:52","Deer - Doe",8,2018-08-24 11:26:52
"1036","E05",3,"2018-08-25 0:40:49","8/25/2018","0:40:49","Deer - Doe",8,2018-08-25 00:40:49
"1037","E09",1,"2018-08-25 9:51:34","8/25/2018","9:51:34","Deer - Doe",8,2018-08-25 09:51:34
"1038","F08",2,"2018-08-25 6:48:32","8/25/2018","6:48:32","Deer - Doe",8,2018-08-25 06:48:32
"1039","F10",3,"2018-08-25 8:15:26","8/25/2018","8:15:26","Deer - Buck",8,2018-08-25 08:15:26
"1040","F10",3,"2018-08-25 8:15:26","8/25/2018","8:15:26","Deer - Doe",8,2018-08-25 08:15:26
"1041","B02",2,"2018-08-26 20:16:00","8/26/2018","20:16:35","Deer - Buck",8,2018-08-26 20:16:00
"1042","B02",3,"2018-08-26 20:17:00","8/26/2018","20:17:10","Deer - Buck",8,2018-08-26 20:17:00
"1043","E05",3,"2018-08-26 17:12:51","8/26/2018","17:12:51","Deer - Doe",8,2018-08-26 17:12:51
"1044","E05",3,"2018-08-26 17:58:21","8/26/2018","17:58:21","Deer - Doe",8,2018-08-26 17:58:21
"1045","B02",1,"2018-08-27 8:01:00","8/27/2018","8:01:57","Deer - Doe",8,2018-08-27 08:01:00
"1046","B02",1,"2018-08-27 9:59:00","8/27/2018","9:59:32","Deer - Doe",8,2018-08-27 09:59:00
"1047","B02",2,"2018-08-27 16:50:00","8/27/2018","16:50:55","Deer - Doe",8,2018-08-27 16:50:00
"1048","C03",3,"2018-08-27 14:47:12","8/27/2018","14:47:12","Deer - Doe",8,2018-08-27 14:47:12
"1049","C09",2,"2018-08-27 20:28:37","8/27/2018","20:28:37","Deer - Doe",8,2018-08-27 20:28:37
