Station,BCI,Sex,TimePeriod,Area,time.since.fire
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
D14,3,Doe,Pre,Outside,0
A13,4,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
E13,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D12,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
D12,3,Doe,Pre,Outside,0
D14,2,Doe,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
D12,3,Doe,Pre,Outside,0
D14,3,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
D12,2,Doe,Pre,Outside,0
E13,4,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
E15,3,Buck,Pre,Outside,0
E15,4,Buck,Pre,Outside,0
F10,3,Buck,Pre,Outside,0
F10,4,Buck,Pre,Outside,0
F10,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
D14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D14,4,Doe,Pre,Outside,0
D14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
C15,4,Doe,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
C15,4,Buck,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
C15,4,Doe,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
B12,4,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
E15,3,Doe,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
D16,3,Buck,Pre,Outside,0
E15,4,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
C17,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
E13,5,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D14,3,Doe,Pre,Outside,0
D14,4,Doe,Pre,Outside,0
F10,3,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,5,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D16,4,Buck,Pre,Outside,0
D16,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
B14,2,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
F10,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D14,4,Doe,Pre,Outside,0
E15,3,Doe,Pre,Outside,0
F10,4,Doe,Pre,Outside,0
A13,4,Doe,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,5,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D14,3,Doe,Pre,Outside,0
B14,2,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
A13,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,5,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D14,3,Doe,Pre,Outside,0
D16,5,Buck,Pre,Outside,0
E13,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,5,Buck,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,5,Buck,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D12,4,Doe,Pre,Outside,0
D14,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D14,2,Doe,Pre,Outside,0
D14,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
E15,3,Doe,Pre,Outside,0
B14,2,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
C17,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D14,4,Doe,Pre,Outside,0
E15,3,Doe,Pre,Outside,0
B14,2,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
F10,3,Doe,Pre,Outside,0
F10,3,Doe,Pre,Outside,0
F10,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,5,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
E13,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
E13,3,Buck,Pre,Outside,0
E13,4,Doe,Pre,Outside,0
B14,2,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D16,4,Doe,Pre,Outside,0
B14,2,Buck,Pre,Outside,0
B14,2,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
D14,4,Doe,Pre,Outside,0
D14,4,Doe,Pre,Outside,0
E13,4,Doe,Pre,Outside,0
E15,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
E13,3,Buck,Pre,Outside,0
E13,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,4,Buck,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,2,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
C17,3,Doe,Pre,Outside,0
D16,3,Doe,Pre,Outside,0
D16,4,Doe,Pre,Outside,0
F10,4,Doe,Pre,Outside,0
B14,1,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
E13,3,Buck,Pre,Outside,0
E13,3,Doe,Pre,Outside,0
B14,3,Buck,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,3,Doe,Pre,Outside,0
B14,4,Doe,Pre,Outside,0
D14,1,Doe,Pre,Outside,0
D14,2,Doe,Pre,Outside,0
B12,3,Doe,Post,Outside,1
B14,2,Buck,Post,Outside,1
B14,3,Buck,Post,Outside,1
B14,3,Buck,Post,Outside,1
B14,2,Doe,Post,Outside,1
B14,2,Doe,Post,Outside,1
B14,3,Doe,Post,Outside,1
B14,3,Doe,Post,Outside,1
B14,3,Doe,Post,Outside,1
B14,3,Doe,Post,Outside,1
B14,3,Doe,Post,Outside,1
B14,3,Doe,Post,Outside,1
